array	matrix_barcodes	mapped_spots	unmapped_spots	rescued_small_fragment_spots
VLP115_A	1744	1743	1	15
VLP116_D	2173	2173	0	0
VLP119_A	1691	1691	0	6
VLP119_D	1277	1255	22	10
VLP120_A	1884	1884	0	6
VLP120_D	1657	1650	7	4
VLP121_A	1530	1506	24	5
VLP121_D	1683	1683	0	0
