outcome	n_patients	stage_beta_array_adjusted	stage_beta_hc3_se	stage_beta_hc3_p	stage_beta_within_array_permutation_p	spearman_rho	spearman_p
AP1_control	32	0.027101807448414825	0.008064354956604987	0.000777476722865427	0.0031	0.576607859632287	0.0005518277021802511
Endo_resolver	32	0.004867035945837325	0.005278949085285155	0.35654390230876665	0.2524	0.20782731865296922	0.25370715805456917
HSC_retention	32	0.039816541436538455	0.011451005195562691	0.000506827250465214	0.0013	0.7718224696351212	2.3112443403278093e-07
LAM_resolver	32	-0.005785458185001008	0.010937360088784457	0.5968311564344626	0.4499	0.03143764693391835	0.8643773195012645
TGFb_integrator	32	0.0074258750898667635	0.006201728999463666	0.23115540854974026	0.3052	0.29517503228972447	0.10098297894972574
retention_dominance	32	0.02361215809568971	0.007332180757293086	0.001280360162487862	0.0003	0.699534706625393	8.386872100168325e-06
