outcome	n_patients	stage_beta_array_adjusted	stage_beta_hc3_se	stage_beta_hc3_p	stage_beta_within_array_permutation_p	spearman_rho	spearman_p
HSC_retention	32	0.09675051751828215	0.02599047782722376	0.00019723093042702704	0.0001	0.7400083239355273	1.2959294035406173e-06
Endo_resolver	32	0.04176194347649522	0.012495774250910748	0.0008315150230512622	0.0001	0.5801845979062058	0.0005000462451512727
LAM_resolver	32	0.06892520486205213	0.018650414486933647	0.00021933417615792173	0.0001	0.6455071337509344	6.623812415907434e-05
retention_dominance	32	0.041406943349008504	0.01785133722653774	0.02036561530823395	0.0007	0.559477165794044	0.0008712277486373879
AP1_control	32	0.04543236005106069	0.014085062856557787	0.0012572196729785526	0.0008	0.5805610966718815	0.000494853809796219
TGFb_integrator	32	0.06602455408622859	0.017087687623677857	0.00011160595734716052	0.0001	0.6423068942426912	7.393631067981227e-05
ECM_scar	32	0.178301378576188	0.04100973177721606	1.3752111655914544e-05	0.0001	0.7445263091236354	1.0301517936489046e-06
