p_locked_threshold	metric	stage_beta_array_adjusted	hc3_p_value	hc3_fdr
0.4	largest_locked_domain_fraction	0.07366470518952815	0.002130593642553087	0.002130593642553087
0.4	interface_edge_fraction	-0.03248224585627828	0.00017338014850067538	0.0004623470626684677
0.5	largest_locked_domain_fraction	0.09603914800529065	0.00013954776364168145	0.0004623470626684677
0.5	interface_edge_fraction	-0.028733200324141162	0.0003569398378699087	0.0004795001264972294
0.6	largest_locked_domain_fraction	0.102248117132203	0.00035962509487292205	0.0004795001264972294
0.6	interface_edge_fraction	-0.027894116150220576	0.0006117912821531163	0.0006991900367464187
0.67	largest_locked_domain_fraction	0.09348749097041878	0.000334006733761443	0.0004795001264972294
0.67	interface_edge_fraction	-0.028563074798712104	0.0001308180240038152	0.0004623470626684677
