distance	module	mean	ci_low	ci_high	n_biopsies
-3	Endothelial resolver	0.04275579732418452	0.04275579732418452	0.04275579732418452	1
-3	Macrophage resolver	-0.6854091767130309	-0.6854091767130309	-0.6854091767130309	1
-3	Protease activation	0.4189962496740065	0.4189962496740065	0.4189962496740065	1
-3	Antiproteolytic brake	-0.4971238349334019	-0.4971238349334019	-0.4971238349334019	1
-3	HSC retention	0.049134351647820915	0.049134351647820915	0.049134351647820915	1
-3	TGF-beta integrator	-0.32261258670630766	-0.32261258670630766	-0.32261258670630766	1
-3	Structural ECM	-0.8590838072028116	-0.8590838072028116	-0.8590838072028116	1
-3	resolver_advantage	0.1823149800923496	0.1823149800923496	0.1823149800923496	1
-2	Endothelial resolver	-0.43869801771689443	-0.6215583749537411	-0.2344535778353997	21
-2	Macrophage resolver	-0.22726502147669048	-0.4006700250494669	-0.0635364405686883	21
-2	Protease activation	-0.11219394170395217	-0.26351354678714256	0.038159845498098435	21
-2	Antiproteolytic brake	-0.32675914344650625	-0.5982534315232559	0.03186796948641606	21
-2	HSC retention	-0.5044060988216658	-0.6367997223885342	-0.38361900110528074	21
-2	TGF-beta integrator	-0.07952420470589422	-0.3179707660688256	0.1903730615166691	21
-2	Structural ECM	-0.32290635305433774	-0.4530849846406374	-0.17962973931881912	21
-2	resolver_advantage	0.04417748869217642	-0.11779289208452175	0.17767238678582267	21
-1	Endothelial resolver	-0.27382840263745695	-0.30732329166837713	-0.24148709144970326	33
-1	Macrophage resolver	-0.20499781783978427	-0.24563004189107315	-0.16570258583291678	33
-1	Protease activation	-0.11692132704439101	-0.15479681790437025	-0.07344476880406996	33
-1	Antiproteolytic brake	-0.2638758979445671	-0.30687238658813987	-0.2222241962950167	33
-1	HSC retention	-0.32519384752326796	-0.356424486670126	-0.2933000119867722	33
-1	TGF-beta integrator	-0.13112472675309456	-0.17580115869816665	-0.0887520014155491	33
-1	Structural ECM	-0.16978227683254285	-0.23225368938983054	-0.10250202805310238	33
-1	resolver_advantage	0.04148230823309912	0.02602840225017277	0.057061603779564804	33
1	Endothelial resolver	0.059576043646908314	0.006946154117856291	0.10935022907167334	33
1	Macrophage resolver	0.015455412928302477	-0.058791292287967166	0.08850435934298082	33
1	Protease activation	-0.025434013837895814	-0.07617390305781678	0.027309220688485226	33
1	Antiproteolytic brake	0.06510271241061936	-0.017949251499165108	0.14080904085854265	33
1	HSC retention	-0.001716004197700193	-0.08199115288998413	0.07855723805281181	33
1	TGF-beta integrator	-0.026391589483379264	-0.075756056886647	0.024309694290346524	33
1	Structural ECM	-0.052738551238850684	-0.1309258041292134	0.03165845048271079	33
1	resolver_advantage	0.004200774669258355	-0.03764925393338231	0.05164424068918157	33
2	Endothelial resolver	0.15504559618568292	0.04253667244984287	0.2680966882888467	33
2	Macrophage resolver	0.1791326015585566	0.06892640940140837	0.2923159221004321	33
2	Protease activation	0.1772560127855553	0.07510972127715322	0.27965463157099846	33
2	Antiproteolytic brake	0.30194180627502554	0.15084332222597613	0.4674591900520668	33
2	HSC retention	0.3404019223689536	0.15513654387201722	0.527184978987734	33
2	TGF-beta integrator	0.11242983935600577	0.017353532749358795	0.21032624936645866	33
2	Structural ECM	0.2657604335986066	0.12524445260727612	0.41375596443245427	33
2	resolver_advantage	-0.08111311915672999	-0.16153257433376883	-0.0020196424185584443	33
3	Endothelial resolver	0.25231363499244686	0.015250305465507909	0.5113335573867148	28
3	Macrophage resolver	0.4185245850494136	0.15627220589611354	0.6603569953264301	28
3	Protease activation	0.43795871693347393	0.14699827956670078	0.7466447635289071	28
3	Antiproteolytic brake	0.3295495516740449	0.02893821473471405	0.6245393379899646	28
3	HSC retention	0.7395482086654707	0.3179738740815566	1.143627055506842	28
3	TGF-beta integrator	0.3492183384286355	0.11917729563577098	0.576586476459939	28
3	Structural ECM	0.49219271254487673	0.22309872909486775	0.7660337521271329	28
3	resolver_advantage	-0.10317305393093885	-0.3002114003429733	0.10874714834823232	28
4	Endothelial resolver	0.23868158297246142	-0.05363843274861162	0.5054542618812492	16
4	Macrophage resolver	0.48775354911758884	0.06550798313495707	0.9790920704932915	16
4	Protease activation	0.4830733869763729	-0.15912187063058622	1.1858570056177864	16
4	Antiproteolytic brake	0.7135307917321773	0.3022487576503807	1.1253717865172188	16
4	HSC retention	1.1788093599299332	0.44292716660004483	1.9793539052370162	16
4	TGF-beta integrator	0.5378309361838733	0.050440536452189946	1.0346923813742412	16
4	Structural ECM	0.8109185215742769	0.45790896893433936	1.169769406015524	16
4	resolver_advantage	-0.4068875229265202	-0.7759143458820187	0.022854054590849143	16
