metric	stage_beta_array_adjusted	hc3_p_value	within_array_permutation_p	spearman_rho	spearman_p_value	permutation_fdr
locked_fraction	0.03243871913389098	3.553461718547866e-05	9.999000099990002e-05	0.625235989768342	0.00010012679857715102	0.00019998000199980003
largest_locked_domain_fraction	0.09603914800529065	0.00013954776364168145	0.00029997000299970003	0.6661168044839644	2.323376270178767e-05	0.00039996000399960006
locked_domain_coherence	0.0997187593043891	0.003520790685010989	0.0008999100089991	0.6427563389321802	5.494690318457967e-05	0.0008999100089991
interface_edge_fraction	-0.028733200324141162	0.0003569398378699087	9.999000099990002e-05	-0.6173346558317091	0.00012971777629381808	0.00019998000199980003
