sample	etiology	timepoint	week	Endo4_WNT_resolver	HSC_SFRP_brake	HSC_pathogenic_retention	LAM_resolver	resolver_proxy	lock_proxy
GSM9168817	CCl4	peak	0	0.0555967235494823	0.0383744187973515	0.0448371180383815	0.1608412398217633	0.30827984679755643	-1.2041259367288915
GSM9168818	CCl4	2wk	2	0.0671932414639214	0.0286519660221869	0.101105386080708	0.146488879874782	0.2662158195244718	0.5981387055786985
GSM9168819	CCl4	6wk	6	0.0438334122924769	0.0173179652145826	0.0659599467032657	0.0840776229720046	-1.0429583861320035	-0.527564731404328
GSM9168820	FAT_MASH	peak	0	0.0545920695341909	0.0356093929797824	0.0966510655269306	0.2363930747156123	1.4461370289505413	0.4554674502001219
GSM9168821	FAT_MASH	2wk	2	0.0717045547887044	0.0328661150238461	0.0956331560490578	0.1755755286236793	0.7790411470646168	0.42286395404026234
GSM9168822	FAT_MASH	6wk	6	0.0537378420714683	0.017340680622555	0.1276877989139002	0.0520331029516959	-1.380895520678218	1.4495696172329853
GSM9168823	Untreated	baseline	-1	0.0774370694322981	0.0076386314153605	0.0451423606583156	0.0941818155767286	-0.3758199355269681	-1.1943490589188486
