iteration	best_k	bic_gain_1_to_3	multibasin_supported
0	2	92.09191454299753	True
1	2	193.7712533938368	True
2	2	154.9177532589298	True
3	2	92.39811935061857	True
4	2	172.78178069333444	True
5	2	91.10340691483714	True
6	2	208.7484679605086	True
7	2	77.94693380578167	True
8	2	132.94153476019972	True
9	2	92.19451604687765	True
10	2	113.49202987176716	True
11	4	117.40790623629982	True
12	2	189.7443615830557	True
13	2	59.752672941747164	True
14	2	91.25599346209628	True
15	2	17.410218097264988	True
16	2	112.12239473523937	True
17	2	108.42451994292708	True
18	2	104.67491576455097	True
19	3	86.91814402954901	True
20	2	98.50862887931203	True
21	2	159.71079761841776	True
22	2	72.93658929559876	True
23	2	95.6937246158102	True
24	2	190.9561766965562	True
25	2	133.5042948967557	True
26	2	219.23693724643715	True
27	3	197.87750565298188	True
28	2	115.66899235261963	True
29	2	88.91788569522464	True
30	2	160.58388213085902	True
31	3	226.1551864864765	True
32	2	143.09447716998136	True
33	3	94.86425925531603	True
34	2	37.75126825547159	True
35	3	120.68299930424905	True
36	2	116.81921495225674	True
37	3	151.93123535474342	True
38	2	163.76640362120293	True
39	2	91.26449716966442	True
40	2	157.55081171037546	True
41	2	72.34687735347211	True
42	3	62.406783681450065	True
43	2	160.41109877985275	True
44	2	87.87406820651108	True
45	2	61.953291634087805	True
46	3	83.09558637273324	True
47	2	111.41696479281222	True
48	2	58.7141672883256	True
49	2	127.86469564972754	True
50	3	197.94981878892418	True
51	2	73.0565622114957	True
52	2	210.93767119981044	True
53	2	73.55944290599405	True
54	2	86.87390950882991	True
55	2	144.29729006678474	True
56	2	118.52746055225987	True
57	2	119.90669307967744	True
58	2	106.8640962770155	True
59	2	231.30199501399227	True
60	2	95.68737737255265	True
61	2	145.00276611520326	True
62	2	82.32767212651584	True
63	3	100.82774194015713	True
64	2	149.17933441585205	True
65	2	69.20069341310307	True
66	3	116.05480652299843	True
67	2	187.2885436947589	True
68	2	174.8001424693765	True
69	2	134.12797204942603	True
70	3	184.8873806712379	True
71	2	86.79629118372964	True
72	2	170.13370795571177	True
73	2	90.1709562410258	True
74	3	158.83411022582277	True
75	2	127.13701139553473	True
76	3	164.20711799090952	True
77	2	79.27567514043676	True
78	2	106.87789048419017	True
79	2	77.70020427352824	True
80	2	59.20427164541911	True
81	2	101.76320309336836	True
82	4	150.64070274360733	True
83	2	74.53153943308996	True
84	2	108.82243893526265	True
85	4	81.7880700004464	True
86	2	218.361689631731	True
87	4	159.01596743377468	True
88	2	113.28136248357555	True
89	2	114.3591674863136	True
90	2	68.34011528302938	True
91	3	139.98291175694578	True
92	2	258.0094613427159	True
93	2	170.00976512408897	True
94	2	166.79165751356004	True
95	2	180.4919497667281	True
96	3	78.83408252834602	True
97	2	144.38387406281754	True
98	2	127.66515740757939	True
99	2	133.64251195099382	True
100	2	160.13751032491518	True
101	2	52.23023499006763	True
102	2	147.72773130594658	True
103	2	153.190164223568	True
104	3	107.40442220641103	True
105	2	96.37683878374719	True
106	4	90.05764251169762	True
107	2	144.36808346594728	True
108	2	133.0115018659718	True
109	2	181.5068209624219	True
110	2	176.2782289692991	True
111	2	86.78566718668253	True
112	2	244.48637626685036	True
113	3	213.74528818350768	True
114	2	79.30924697763271	True
115	2	115.09374565521284	True
116	4	134.44512773818974	True
117	2	147.22874491219147	True
118	4	167.11866691295563	True
119	2	119.01137045226164	True
120	2	155.9061030698548	True
121	3	102.40458460453817	True
122	2	83.05757451361251	True
123	2	148.51225064106052	True
124	2	108.65992209042122	True
125	2	105.85631780033032	True
126	3	185.89424096650282	True
127	2	229.34529855123594	True
128	2	147.43830669471686	True
129	2	226.42910687432845	True
130	2	238.9020733720779	True
131	2	156.41684239975302	True
132	3	143.94110165536176	True
133	2	121.9961484807759	True
134	2	109.84864876659049	True
135	2	92.00917500454807	True
136	4	143.13281817736788	True
137	2	212.724750305209	True
138	2	153.0160926805686	True
139	2	201.6583843125661	True
140	2	118.50306029043645	True
141	3	190.98199627286135	True
142	2	171.75368760373146	True
143	2	-22.83881465656998	True
144	2	88.18456852791326	True
145	2	99.3310418611843	True
146	2	126.67356518813358	True
147	2	115.35509791662025	True
148	2	118.35084657301331	True
149	3	148.15063242704548	True
150	2	181.98988884743096	True
151	2	134.31246436364063	True
152	3	95.85131542941963	True
153	2	168.4169806910602	True
154	2	146.3117022077414	True
155	2	116.65214475089897	True
156	2	109.09103004444535	True
157	2	211.84785290734953	True
158	4	170.40062647101354	True
159	2	228.14370594863215	True
160	2	86.0633381100946	True
161	2	115.7622798342486	True
162	2	143.47843784141605	True
163	2	103.46387771022091	True
164	3	93.0995030929638	True
165	2	96.05048739552933	True
166	2	99.16622587173197	True
167	2	53.35953698830292	True
168	2	167.34653220307337	True
169	4	115.13530446029813	True
170	2	106.33363980475133	True
171	2	92.86525903842346	True
172	3	178.33059466111308	True
173	2	101.67357640542969	True
174	2	67.89854407011387	True
175	2	166.9922345008273	True
176	2	209.581375375755	True
177	2	161.81598850966964	True
178	2	121.4006210112708	True
179	2	201.6031865419227	True
180	2	118.08072465651844	True
181	2	155.69050157708057	True
182	2	122.18936667120079	True
183	4	177.93263564531878	True
184	2	94.09208621908351	True
185	2	95.83319262188365	True
186	3	244.9793404356717	True
187	2	153.54240247494045	True
188	3	151.84725719796518	True
189	2	114.34135188300274	True
190	2	112.5808440176313	True
191	2	216.6703962002956	True
192	2	190.40855031534886	True
193	2	101.49767067396101	True
194	4	119.58543937495551	True
195	2	173.20318801783446	True
196	2	153.95318754851064	True
197	2	78.9444126807141	True
198	2	125.39582252423668	True
199	2	227.71463967312184	True
200	3	111.363120621152	True
201	2	152.9299568868505	True
202	2	16.963960198804216	True
203	2	123.6102683854017	True
204	2	76.69927069806283	True
205	2	77.77091114145855	True
206	2	173.463764725788	True
207	2	106.35522551864017	True
208	2	82.79967293221853	True
209	2	95.13236372173037	True
210	2	88.86083411612492	True
211	2	81.32388280337489	True
212	2	116.54597135436495	True
213	2	118.17647328052544	True
214	2	92.02043566054726	True
215	2	151.97115859053224	True
216	2	150.34731171117244	True
217	3	136.73869719058985	True
218	4	193.14049445265312	True
219	2	167.40450381264463	True
220	2	115.76870258236409	True
221	2	101.79899227605347	True
222	2	169.45083384233112	True
223	2	105.1529224512808	True
224	2	119.6922333609657	True
225	2	23.532132124038185	True
226	2	91.24913073057246	True
227	2	128.12322765895658	True
228	2	93.50752188018089	True
229	2	166.228577942941	True
230	2	72.02578967437353	True
231	2	154.15637734761208	True
232	2	205.84869726685133	True
233	2	187.14627324837056	True
234	2	73.2498747045239	True
235	4	148.43223499354986	True
236	2	173.69004243100107	True
237	2	130.1661470671919	True
238	2	140.9313230108213	True
239	2	143.33772216520083	True
240	2	119.92854528140572	True
241	2	195.72569371197426	True
242	2	287.7642474510725	True
243	2	160.50652725541272	True
244	2	114.85711237982275	True
245	2	115.02712142825078	True
246	2	131.57817310899043	True
247	2	128.16170368734902	True
248	2	149.4105170338688	True
249	2	207.39624576414712	True
250	2	118.26900932380613	True
251	2	103.77958500912939	True
252	4	122.709361585137	True
253	2	173.6464588033482	True
254	2	103.62631879307321	True
255	2	121.96237680346553	True
256	3	155.10961082568474	True
257	2	112.618662657811	True
258	2	87.88250448814256	True
259	4	153.11554153937448	True
260	2	178.06353439494887	True
261	2	98.93833352749027	True
262	2	140.35262861610443	True
263	2	158.27917272618606	True
264	2	120.7384917142333	True
265	2	127.27082230719441	True
266	2	125.09869532927632	True
267	2	96.46344102089859	True
268	2	151.58748898941394	True
269	2	92.31953353958147	True
270	2	44.19042103684319	True
271	3	142.82417325222866	True
272	2	192.21285941007272	True
273	4	148.23079502071255	True
274	2	170.3187960482578	True
275	2	174.48264079625267	True
276	3	170.80331952996903	True
277	2	118.8049070085541	True
278	2	102.46884339069925	True
279	2	145.1074936662494	True
280	2	135.70278409967977	True
281	2	103.00112822447227	True
282	2	108.26052042215508	True
283	2	128.40482982869594	True
284	2	121.11429240770735	True
285	3	102.13048090225777	True
286	2	118.48480501865788	True
287	2	131.7827967298797	True
288	3	169.50059450309539	True
289	2	18.67645476511393	True
290	2	70.39982397535482	True
291	2	53.25754380558965	True
292	2	61.817737470706334	True
293	2	112.50028086823158	True
294	2	189.53670441640395	True
295	2	138.38203582832853	True
296	2	116.5296954666785	True
297	2	104.54573011366938	True
298	2	136.0090582498318	True
299	2	103.19897740376746	True
