axis_definition	resolver_column	lock_column	bic_gain_one_to_two	n_patients	stage_beta	hc3_se	hc3_p	within_array_permutation_p	spearman_rho	permutation_fdr
pca_primary	resolver_axis	lock_axis	141.01218590066708	32	0.08210263761216538	0.02607662330614558	0.001641023444792728	0.0006	0.5876135741248465	0.0018
mechanistic_equal	resolver_mechanistic_equal	lock_mechanistic_equal	219.82349320980632	32	0.07714697772692802	0.02725331729606637	0.004644086889319471	0.0014	0.6059066441697332	0.0021
compact_equal	resolver_compact_equal	lock_compact_equal	151.6566400194663	32	0.06478084191423046	0.024015755955938776	0.0069876787848987265	0.0044	0.5262392257995167	0.0044
