n_components	bic	aic
1	1062.6542230781893	1040.7620921599314
2	921.6420371775222	873.4793491573547
3	934.5104804497006	860.0772353276236
4	961.0973729926463	860.3935707686599
5	984.6113183816393	857.6369590557433
