term	OR	ci_low	ci_high	p	n
Composite SDS_v0	2.2787957373766763	1.0208236597206943	5.086980462528594	0.04440303121163641	46
ECM retention axis	2.3935357872814276	1.0245064179406684	5.591974305551597	0.04381197554410353	46
Cholestatic-support axis	0.5780357407133115	0.2893674904308482	1.154674690804061	0.12052171864335161	46
Portal/synthetic deficit axis	3.0851511650437407	1.2853173993983182	7.40529748965227	0.011674798572045085	46
