target	n_patients	median	mean	positive_fraction	bootstrap_median_ci_low	bootstrap_median_ci_high	wilcoxon_signed_rank_p	wilcoxon_fdr
Endo_resolver	32	-0.10025948990789599	-0.14388836008447636	0.3125	-0.22983394557275974	-0.0061652192092056446	0.01323032844811678	0.02646065689623356
HSC_retention	32	0.22513949042681689	0.21481333445082046	0.71875	0.07146620097099321	0.37638783948293036	0.00012157298624515533	0.00048629194498062134
LAM_resolver	32	0.00796526833264978	-0.020690497470472507	0.5	-0.14279829923090218	0.09250884049873839	0.6779994335956872	0.6779994335956872
TGFb_integrator	32	0.04947294418951652	0.059127133887147854	0.5625	-0.1263399772926685	0.16658537520640665	0.573302308563143	0.6779994335956872
