outcome	n_patients	median	mean	positive_fraction	bootstrap_median_ci_low	bootstrap_median_ci_high	wilcoxon_signed_rank_p	wilcoxon_fdr
antiproteolytic_brake	32	0.0962369663898365	0.10912273166325524	0.8125	0.046943715953258976	0.14007746865017184	6.794929504394531e-06	1.5854835510253906e-05
clearance_inefficiency	32	0.04518933843707411	0.05564844677661064	0.6875	0.008903096167683673	0.0849756052683236	0.015647762920707464	0.02190686808899045
feedback_core	32	0.044704849685144085	0.07806361823797363	0.8125	0.02803086538089938	0.08696471719544	3.175297752022743e-05	5.5567710660398006e-05
feedback_lock	32	-0.023447864453006173	-0.022915513981759575	0.3125	-0.04017984220456823	-0.0008292172512048131	0.1544793052598834	0.18022585613653064
mechanical_barrier	32	-0.002430600077630175	0.028354984489265524	0.46875	-0.055144268677770614	0.05165874490295758	0.9632332162000239	0.9632332162000239
protease_activation_potential	32	0.052632542287045565	0.05347428488664459	0.875	0.027835198669857848	0.06950458349879383	1.1059455573558807e-06	3.870809450745583e-06
proteolysis	32	0.06442537471911261	0.07722698754314652	0.90625	0.03633194536320113	0.11276596110220471	4.977919161319733e-07	3.484543412923813e-06
