scope	unit	array	gene	n_spots	n_detected	detection_fraction	mean_log1p_cp10k
biopsy	UQ_B20	VLP120_A	SERPINE1	582	134	0.23024054982817868	0.20415737537578824
biopsy	UQ_B20	VLP120_A	SPON1	582	49	0.08419243986254296	0.07378566934552254
biopsy	UQ_B20	VLP120_A	ITGAV	582	169	0.29037800687285226	0.26694372476522743
biopsy	UQ_B20	VLP120_A	ITGB5	582	319	0.5481099656357389	0.5837574962502264
biopsy	UQ_B20	VLP120_A	MMP2	582	161	0.2766323024054983	0.3114687457779128
biopsy	UQ_B20	VLP120_A	MMP9	582	8	0.013745704467353952	0.010242219204016835
biopsy	UQ_B20	VLP120_A	MMP14	582	139	0.23883161512027493	0.22369838524121854
biopsy	UQ_B20	VLP120_A	PLAU	582	39	0.06701030927835051	0.05691123656802444
biopsy	UQ_B20	VLP120_A	PLAT	582	69	0.11855670103092783	0.10983472374159405
biopsy	UQ_B20	VLP120_A	TIMP1	582	363	0.6237113402061856	0.9465836976130656
biopsy	UQ_B20	VLP120_A	TIMP2	582	259	0.44501718213058417	0.5151826106055061
biopsy	UQ_B21	VLP120_D	SERPINE1	83	24	0.2891566265060241	0.45729076498153554
biopsy	UQ_B21	VLP120_D	SPON1	83	0	0.0	0.0
biopsy	UQ_B21	VLP120_D	ITGAV	83	11	0.13253012048192772	0.19487617750506703
biopsy	UQ_B21	VLP120_D	ITGB5	83	18	0.21686746987951808	0.3039267733739768
biopsy	UQ_B21	VLP120_D	MMP2	83	3	0.03614457831325301	0.06528862251919147
biopsy	UQ_B21	VLP120_D	MMP9	83	0	0.0	0.0
biopsy	UQ_B21	VLP120_D	MMP14	83	10	0.12048192771084337	0.16264738120588845
biopsy	UQ_B21	VLP120_D	PLAU	83	1	0.012048192771084338	0.008897491212664836
biopsy	UQ_B21	VLP120_D	PLAT	83	0	0.0	0.0
biopsy	UQ_B21	VLP120_D	TIMP1	83	41	0.4939759036144578	0.782796715075886
biopsy	UQ_B21	VLP120_D	TIMP2	83	26	0.3132530120481928	0.4405009159434992
biopsy	UQ_B22	VLP120_D	SERPINE1	339	181	0.5339233038348082	0.5794511191501847
biopsy	UQ_B22	VLP120_D	SPON1	339	13	0.038348082595870206	0.03439090016162154
biopsy	UQ_B22	VLP120_D	ITGAV	339	94	0.27728613569321536	0.25220941952049075
biopsy	UQ_B22	VLP120_D	ITGB5	339	192	0.5663716814159292	0.5443270801341346
biopsy	UQ_B22	VLP120_D	MMP2	339	59	0.17404129793510326	0.15260410472814362
biopsy	UQ_B22	VLP120_D	MMP9	339	12	0.035398230088495575	0.03319143484982989
biopsy	UQ_B22	VLP120_D	MMP14	339	84	0.24778761061946902	0.22041156810436704
biopsy	UQ_B22	VLP120_D	PLAU	339	11	0.032448377581120944	0.024891639906424106
biopsy	UQ_B22	VLP120_D	PLAT	339	13	0.038348082595870206	0.027178871286784836
biopsy	UQ_B22	VLP120_D	TIMP1	339	253	0.7463126843657817	1.02888630187071
biopsy	UQ_B22	VLP120_D	TIMP2	339	152	0.44837758112094395	0.4404199254429974
biopsy	UQ_B23	VLP120_D	SERPINE1	620	139	0.22419354838709676	0.18726843089826375
biopsy	UQ_B23	VLP120_D	SPON1	620	17	0.027419354838709678	0.021266401798552628
biopsy	UQ_B23	VLP120_D	ITGAV	620	189	0.30483870967741933	0.26595839454310805
biopsy	UQ_B23	VLP120_D	ITGB5	620	343	0.5532258064516129	0.5148508557364685
biopsy	UQ_B23	VLP120_D	MMP2	620	160	0.25806451612903225	0.23150869274367014
biopsy	UQ_B23	VLP120_D	MMP9	620	14	0.02258064516129032	0.01692588330287867
biopsy	UQ_B23	VLP120_D	MMP14	620	184	0.2967741935483871	0.24864853650941765
biopsy	UQ_B23	VLP120_D	PLAU	620	35	0.056451612903225805	0.043071465548436334
biopsy	UQ_B23	VLP120_D	PLAT	620	17	0.027419354838709678	0.019605340433543797
biopsy	UQ_B23	VLP120_D	TIMP1	620	483	0.7790322580645161	0.9884833912535911
