scope	unit	array	gene	n_spots	n_detected	detection_fraction	mean_log1p_cp10k
array	VLP119_A	VLP119_A	ITGAV	1691	278	0.16439976345357776	0.16937301125103138
array	VLP119_A	VLP119_A	ITGB5	1691	666	0.39384979302188056	0.43476853900410334
array	VLP119_A	VLP119_A	MMP2	1691	220	0.13010053222945003	0.13448476730620054
array	VLP119_A	VLP119_A	MMP9	1691	27	0.01596688350088705	0.016611469245232477
array	VLP119_A	VLP119_A	MMP14	1691	279	0.16499112950916617	0.16580882089102714
array	VLP119_A	VLP119_A	PLAU	1691	43	0.0254287403903016	0.02359479807747557
array	VLP119_A	VLP119_A	PLAT	1691	61	0.036073329390892965	0.03338914251678549
array	VLP119_A	VLP119_A	TIMP1	1691	928	0.5487876995860438	0.7434186184082228
array	VLP119_A	VLP119_A	TIMP2	1691	515	0.30455351862803076	0.3328649947906176
array	VLP119_D	VLP119_D	SERPINE1	1255	260	0.20717131474103587	0.2257673270082488
array	VLP119_D	VLP119_D	SPON1	1255	67	0.05338645418326693	0.057231549094341395
array	VLP119_D	VLP119_D	ITGAV	1255	246	0.19601593625498007	0.20609188159163103
array	VLP119_D	VLP119_D	ITGB5	1255	487	0.3880478087649402	0.4353859066836008
array	VLP119_D	VLP119_D	MMP2	1255	210	0.16733067729083664	0.2021850284236509
array	VLP119_D	VLP119_D	MMP9	1255	21	0.016733067729083666	0.021024229453953703
array	VLP119_D	VLP119_D	MMP14	1255	220	0.1752988047808765	0.1888290630023086
array	VLP119_D	VLP119_D	PLAU	1255	37	0.02948207171314741	0.02719658826658725
array	VLP119_D	VLP119_D	PLAT	1255	59	0.04701195219123506	0.04825378845189705
array	VLP119_D	VLP119_D	TIMP1	1255	693	0.552191235059761	0.7495637295925213
array	VLP119_D	VLP119_D	TIMP2	1255	390	0.3107569721115538	0.34972920872489605
array	VLP120_A	VLP120_A	SERPINE1	1884	735	0.39012738853503187	0.2998731934902987
array	VLP120_A	VLP120_A	SPON1	1884	89	0.04723991507430998	0.037116854303497544
array	VLP120_A	VLP120_A	ITGAV	1884	579	0.3073248407643312	0.22250904958240791
array	VLP120_A	VLP120_A	ITGB5	1884	1148	0.6093418259023354	0.5281345202110539
array	VLP120_A	VLP120_A	MMP2	1884	339	0.17993630573248406	0.16268320177910595
array	VLP120_A	VLP120_A	MMP9	1884	38	0.020169851380042462	0.01586286051598242
array	VLP120_A	VLP120_A	MMP14	1884	462	0.24522292993630573	0.17708081269253095
array	VLP120_A	VLP120_A	PLAU	1884	88	0.04670912951167728	0.032085954573293364
array	VLP120_A	VLP120_A	PLAT	1884	121	0.06422505307855626	0.04987275535915879
array	VLP120_A	VLP120_A	TIMP1	1884	1332	0.7070063694267515	0.789747542427114
array	VLP120_A	VLP120_A	TIMP2	1884	862	0.4575371549893843	0.3919318012303443
array	VLP120_D	VLP120_D	SERPINE1	1650	388	0.23515151515151514	0.24923579915801444
array	VLP120_D	VLP120_D	SPON1	1650	40	0.024242424242424242	0.02218834310504278
array	VLP120_D	VLP120_D	ITGAV	1650	357	0.21636363636363637	0.2121601408410166
array	VLP120_D	VLP120_D	ITGB5	1650	715	0.43333333333333335	0.45622551018036533
array	VLP120_D	VLP120_D	MMP2	1650	264	0.16	0.15457943751550507
array	VLP120_D	VLP120_D	MMP9	1650	32	0.019393939393939394	0.0179741620123138
array	VLP120_D	VLP120_D	MMP14	1650	319	0.19333333333333333	0.18051414276670308
array	VLP120_D	VLP120_D	PLAU	1650	58	0.03515151515151515	0.031503301955504846
array	VLP120_D	VLP120_D	PLAT	1650	44	0.02666666666666667	0.021635679434259675
array	VLP120_D	VLP120_D	TIMP1	1650	1050	0.6363636363636364	0.8840074672044986
array	VLP120_D	VLP120_D	TIMP2	1650	655	0.396969696969697	0.4310560542640623
array	VLP121_A	VLP121_A	SERPINE1	1506	232	0.15405046480743692	0.10375736415290024
array	VLP121_A	VLP121_A	SPON1	1506	137	0.09096945551128818	0.06675329587210828
array	VLP121_A	VLP121_A	ITGAV	1506	387	0.25697211155378485	0.1810269534752274
array	VLP121_A	VLP121_A	ITGB5	1506	722	0.47941567065073043	0.35450078743624425
array	VLP121_A	VLP121_A	MMP2	1506	488	0.3240371845949535	0.3000779511842761
array	VLP121_A	VLP121_A	MMP9	1506	59	0.039176626826029216	0.03198231513580521
array	VLP121_A	VLP121_A	MMP14	1506	489	0.3247011952191235	0.2497492500766816
array	VLP121_A	VLP121_A	PLAU	1506	87	0.05776892430278884	0.03809072677254733
array	VLP121_A	VLP121_A	PLAT	1506	142	0.09428950863213811	0.06812745355688332
array	VLP121_A	VLP121_A	TIMP1	1506	1215	0.8067729083665338	1.0343243335110905
array	VLP121_A	VLP121_A	TIMP2	1506	542	0.3598937583001328	0.2803117908030413
array	VLP121_D	VLP121_D	SERPINE1	1683	281	0.16696375519904932	0.17286798641610304
array	VLP121_D	VLP121_D	SPON1	1683	52	0.030897207367795602	0.03153113854571911
array	VLP121_D	VLP121_D	ITGAV	1683	197	0.11705288175876412	0.12148830230959813
array	VLP121_D	VLP121_D	ITGB5	1683	400	0.23767082590612001	0.2517530996944408
array	VLP121_D	VLP121_D	MMP2	1683	307	0.18241235888294713	0.20298170404453697
array	VLP121_D	VLP121_D	MMP9	1683	9	0.0053475935828877	0.005773239095638656
array	VLP121_D	VLP121_D	MMP14	1683	337	0.20023767082590613	0.2163174981706887
array	VLP121_D	VLP121_D	PLAU	1683	53	0.0314913844325609	0.032433377053996855
array	VLP121_D	VLP121_D	PLAT	1683	50	0.029708853238265002	0.027398065542256607
array	VLP121_D	VLP121_D	TIMP1	1683	978	0.5811051693404634	0.8597444054699742
array	VLP121_D	VLP121_D	TIMP2	1683	320	0.19013666072489602	0.20845338289478751
biopsy	UQ_B01	VLP115_A	SERPINE1	351	16	0.045584045584045586	0.06825746400320913
biopsy	UQ_B01	VLP115_A	SPON1	351	13	0.037037037037037035	0.04754113594278424
biopsy	UQ_B01	VLP115_A	ITGAV	351	53	0.150997150997151	0.20339084424392703
biopsy	UQ_B01	VLP115_A	ITGB5	351	99	0.28205128205128205	0.4153358800996928
biopsy	UQ_B01	VLP115_A	MMP2	351	41	0.1168091168091168	0.1509120562040684
biopsy	UQ_B01	VLP115_A	MMP9	351	11	0.03133903133903134	0.043509670820398874
biopsy	UQ_B01	VLP115_A	MMP14	351	39	0.1111111111111111	0.1469369188473536
biopsy	UQ_B01	VLP115_A	PLAU	351	11	0.03133903133903134	0.038606854055113174
biopsy	UQ_B01	VLP115_A	PLAT	351	21	0.05982905982905983	0.07904322143073336
biopsy	UQ_B01	VLP115_A	TIMP1	351	227	0.6467236467236467	1.1485798735885093
biopsy	UQ_B01	VLP115_A	TIMP2	351	120	0.3418803418803419	0.5188096460595251
biopsy	UQ_B02	VLP115_A	SERPINE1	709	36	0.05077574047954866	0.09283926336393367
biopsy	UQ_B02	VLP115_A	SPON1	709	6	0.00846262341325811	0.013489734456866178
biopsy	UQ_B02	VLP115_A	ITGAV	709	40	0.056417489421720736	0.09617856558838177
biopsy	UQ_B02	VLP115_A	ITGB5	709	125	0.1763046544428773	0.30146393008483535
biopsy	UQ_B02	VLP115_A	MMP2	709	21	0.029619181946403384	0.051463184962259594
biopsy	UQ_B02	VLP115_A	MMP9	709	20	0.028208744710860368	0.05147109436853312
biopsy	UQ_B02	VLP115_A	MMP14	709	35	0.04936530324400564	0.08902915130492506
biopsy	UQ_B02	VLP115_A	PLAU	709	9	0.012693935119887164	0.021612297082519927
biopsy	UQ_B02	VLP115_A	PLAT	709	14	0.019746121297602257	0.03549125899785383
biopsy	UQ_B02	VLP115_A	TIMP1	709	229	0.3229901269393512	0.6484283564243506
biopsy	UQ_B02	VLP115_A	TIMP2	709	123	0.17348377997179126	0.3084569563041812
biopsy	UQ_B03	VLP115_A	SERPINE1	260	16	0.06153846153846154	0.11633091269628149
biopsy	UQ_B03	VLP115_A	SPON1	260	1	0.0038461538461538464	0.0054015937879584195
biopsy	UQ_B03	VLP115_A	ITGAV	260	18	0.06923076923076923	0.11890654443750752
biopsy	UQ_B03	VLP115_A	ITGB5	260	46	0.17692307692307693	0.3123200402850153
biopsy	UQ_B03	VLP115_A	MMP2	260	21	0.08076923076923077	0.14045085706077048
biopsy	UQ_B03	VLP115_A	MMP9	260	8	0.03076923076923077	0.05366944185428991
biopsy	UQ_B03	VLP115_A	MMP14	260	15	0.057692307692307696	0.09448185772517605
biopsy	UQ_B03	VLP115_A	PLAU	260	7	0.026923076923076925	0.047278986931440455
biopsy	UQ_B03	VLP115_A	PLAT	260	7	0.026923076923076925	0.05058135010238571
biopsy	UQ_B03	VLP115_A	TIMP1	260	90	0.34615384615384615	0.7120560551460732
biopsy	UQ_B03	VLP115_A	TIMP2	260	65	0.25	0.4582233164742772
biopsy	UQ_B04	VLP115_A	SERPINE1	423	60	0.14184397163120568	0.18972666834581864
biopsy	UQ_B04	VLP115_A	SPON1	423	6	0.014184397163120567	0.022923516045376582
biopsy	UQ_B04	VLP115_A	ITGAV	423	34	0.08037825059101655	0.09868423020283149
