array	component	n_spots	centroid_col	centroid_row	published_primary
VLP115_A	C1	351	6.0398860398860394	30.558404558404558	True
VLP115_A	C2	670	36.14179104477612	36.744776119402985	True
VLP115_A	C3	24	38.958333333333336	75.95833333333333	True
VLP115_A	C4	190	74.41052631578947	30.157894736842106	True
VLP115_A	C5	70	81.6	51.8	True
VLP115_A	C6	423	108.71158392434988	38.7919621749409	True
VLP116_D	C1	514	15.120622568093385	33.7704280155642	True
VLP116_D	C2	29	27.896551724137932	15.96551724137931	True
VLP116_D	C3	168	40.017857142857146	59.81547619047619	True
VLP116_D	C4	838	74.65513126491646	38.80310262529833	True
VLP116_D	C5	624	109.59294871794872	41.00320512820513	True
VLP119_A	C1	232	4.900862068965517	33.97844827586207	True
VLP119_A	C2	444	31.85135135135135	42.72072072072072	True
VLP119_A	C3	97	60.68041237113402	63.7319587628866	True
VLP119_A	C4	203	64.11330049261083	32.389162561576356	True
VLP119_A	C5	22	75.4090909090909	14.045454545454545	True
VLP119_A	C6	56	76.35714285714286	60.642857142857146	True
VLP119_A	C7	631	98.53724247226624	35.687797147385105	True
VLP119_D	C1	184	8.152173913043478	41.29347826086956	True
VLP119_D	C2	390	33.62307692307692	37.51538461538462	True
VLP119_D	C3	163	62.533742331288344	46.8159509202454	True
VLP119_D	C4	21	89.61904761904762	4.0	True
VLP119_D	C5	289	94.73010380622837	46.95847750865052	True
VLP119_D	C6	198	108.79797979797979	29.31313131313131	True
VLP120_A	C1	107	9.719626168224298	11.233644859813085	True
VLP120_A	C2	193	11.27461139896373	45.48186528497409	True
VLP120_A	C3	421	35.91686460807601	34.86698337292162	True
VLP120_A	C4	575	70.53217391304348	39.65217391304348	True
VLP120_A	C5	582	102.9278350515464	36.71134020618557	True
VLP120_D	C1	79	36.48101265822785	13.974683544303797	True
VLP120_D	C2	339	43.70796460176991	47.73746312684366	True
VLP120_D	C3	620	70.57741935483871	36.26451612903226	True
VLP120_D	C4	608	104.57565789473684	40.25	True
VLP121_A	C1	334	10.497005988023952	37.30538922155689	True
VLP121_A	C2	465	40.21075268817204	33.19139784946236	True
VLP121_A	C3	590	73.22033898305085	33.68135593220339	True
VLP121_A	C4	88	94.79545454545455	40.84090909090909	True
VLP121_A	C5	24	113.29166666666667	61.458333333333336	True
VLP121_D	C1	361	10.285318559556787	39.686980609418285	True
VLP121_D	C2	405	35.135802469135804	34.59753086419753	True
VLP121_D	C3	189	56.75132275132275	35.80952380952381	True
VLP121_D	C4	284	76.7394366197183	36.79577464788732	True
VLP121_D	C5	444	101.37837837837837	39.527027027027025	True
VLP115_D	C1	553	15.2875226039783	37.89873417721519	False
VLP115_D	C2	516	46.32945736434109	39.48837209302326	False
VLP115_D	C3	334	75.54191616766467	42.116766467065865	False
VLP115_D	C4	469	103.65245202558636	43.507462686567166	False
VLP116_A	C1	365	9.326027397260274	46.66301369863014	False
VLP116_A	C2	35	26.02857142857143	73.45714285714286	False
VLP116_A	C3	333	31.324324324324323	37.486486486486484	False
VLP116_A	C4	641	60.66302652106084	44.00468018720749	False
VLP116_A	C5	684	98.09502923976608	42.5921052631579	False
