early_compound	late_compound	forward_score	reverse_score	order_advantage	early_mean_resolver	early_resolver_floor	early_retention	late_retention	late_q25_retention	late_resolver_floor	early_tier	late_tier	both_named	both_hard_gate	forward_percentile	order_percentile	basin_switch_index	basin_switch_rank
ezetimibe	aliskiren	0.991250659782617	0.4635385405493989	0.527712119233218	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.9832775919732442	0.9832775919732442	0.9832775919732442	1
ezetimibe	prednisone	0.9586663077888448	0.41124356563188247	0.5474227421569623	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.9732441471571907	0.9966555183946488	0.981438127090301	2
r(-)-propylnorapomorphine	aliskiren	0.9556010816660192	0.421358848153244	0.5342422335127752	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.9698996655518395	0.9899665551839465	0.976923076923077	3
panobinostat	prednisone	0.9964218039826918	0.5280599711566335	0.46836183282605826	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.4679000046518113	0.368160122902029	-0.106774996034801	Excluded_safety	Tier_4_not_prioritized	True	False	0.9866220735785953	0.939799331103679	0.9702341137123747	4
panobinostat	aliskiren	1.029006155976464	0.58035494607415	0.4486512099023141	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Excluded_safety	Tier_4_not_prioritized	True	False	0.9966555183946488	0.9163879598662207	0.968561872909699	5
r(-)-propylnorapomorphine	prednisone	0.9230167296722471	0.36906387323572754	0.5539528564365196	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.9431438127090301	1.0	0.9630434782608696	6
ezetimibe	psb-069	1.0094935946935226	0.5710814891102176	0.438412105583305	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_4_not_prioritized	Tier_3_computational_hit	True	False	0.9933110367892977	0.8996655518394648	0.9605351170568561	7
r(-)-propylnorapomorphine	psb-069	0.9738440165769249	0.5289017967140627	0.4449422198628622	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_4_not_prioritized	Tier_3_computational_hit	True	False	0.979933110367893	0.9096989966555183	0.9553511705685618	8
stk-249718	aliskiren	0.9182493440836432	0.39761467224046126	0.520634671843182	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.9364548494983278	0.979933110367893	0.9516722408026757	9
ezetimibe	bromocriptine	0.9102166814171517	0.4344725208643396	0.47574416055281216	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.9331103678929766	0.9498327759197325	0.9389632107023411	10
stk-249718	psb-069	0.9364922789945489	0.5051576208012799	0.431334658193269	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_4_not_prioritized	Tier_3_computational_hit	True	False	0.9565217391304348	0.8896321070234113	0.9331103678929766	11
ezetimibe	pd-0325901	0.9036995703834922	0.4199196235350673	0.48377994684842496	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.9163879598662207	0.9632107023411371	0.9327759197324414	12
stk-249718	prednisone	0.8856649920898712	0.34531969732294476	0.5403452947669264	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8929765886287625	0.9933110367892977	0.9280936454849498	13
thiostrepton	aliskiren	0.8916110471186658	0.3982615905207776	0.4933494565978882	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Excluded_safety	Tier_4_not_prioritized	True	False	0.8996655518394648	0.9698996655518395	0.9242474916387959	14
panobinostat	pd-0325901	0.9414550665773392	0.5367360290598184	0.4047190375175208	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Excluded_safety	Tier_4_not_prioritized	True	False	0.959866220735786	0.8528428093645485	0.9224080267558529	15
panobinostat	bromocriptine	0.9479721776109987	0.5512889263890906	0.3966832512219082	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Excluded_safety	Tier_4_not_prioritized	True	False	0.9665551839464883	0.8361204013377926	0.9209030100334448	16
y-26763	prednisone	0.8770943327016003	0.3436154609339103	0.5334788717676899	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_3_computational_hit	Tier_4_not_prioritized	True	False	0.8795986622073578	0.9866220735785953	0.9170568561872909	17
y-26763	aliskiren	0.9096786846953725	0.47322606065473144	0.43645262404064106	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_3_computational_hit	Tier_4_not_prioritized	True	False	0.9264214046822743	0.8929765886287625	0.9147157190635452	18
panobinostat	psb-069	1.0472490908873695	0.6878978946349686	0.35935119625240086	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.4291111048724916	0.3565118457966794	0.0297714109931673	Excluded_safety	Tier_3_computational_hit	True	True	1.0	0.7290969899665551	0.9051839464882943	19
r(-)-propylnorapomorphine	bromocriptine	0.874567103300554	0.39229282846818464	0.48227427483236934	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8729096989966555	0.959866220735786	0.9033444816053512	20
thiostrepton	psb-069	0.9098539820295715	0.5058045390815962	0.4040494429479753	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.4291111048724916	0.3565118457966794	0.0297714109931673	Excluded_safety	Tier_3_computational_hit	True	False	0.9297658862876255	0.842809364548495	0.8993311036789298	21
r(-)-propylnorapomorphine	pd-0325901	0.8680499922668945	0.3777399311389124	0.4903100611279821	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.862876254180602	0.9665551839464883	0.8991638795986622	22
thiostrepton	prednisone	0.8590266951248936	0.3459666156032611	0.5130600795216325	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.4679000046518113	0.368160122902029	-0.106774996034801	Excluded_safety	Tier_4_not_prioritized	True	False	0.8528428093645485	0.9765886287625418	0.8961538461538461	23
ezetimibe	verteporfin	0.8923123237262998	0.5041988742064742	0.3881134495198255	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.3174578201853567	0.1837441553879115	0.0395371671766042	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.9063545150501672	0.8093645484949833	0.8724080267558529	24
ezetimibe	wz-4002	0.9652742582820504	0.6285826451152504	0.33669161316679996	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.3318178856538402	0.1799050901706019	0.1696766402040209	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.9765886287625418	0.6688963210702341	0.8688963210702341	25
stk-249718	bromocriptine	0.837215365718178	0.36854865255540187	0.46866671316277614	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8193979933110368	0.9431438127090301	0.8627090301003344	26
y-26763	psb-069	0.9279216196062781	0.5807690092155502	0.34715261039072787	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_3_computational_hit	Tier_3_computational_hit	True	True	0.9464882943143813	0.6989966555183946	0.8598662207357859	27
stk-249718	pd-0325901	0.8306982546845185	0.35399575522612964	0.4767024994583889	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8060200668896321	0.9565217391304348	0.8586956521739131	28
r(-)-propylnorapomorphine	wz-4002	0.9296246801654527	0.5864029527190955	0.34322172744635726	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.3318178856538402	0.1799050901706019	0.1696766402040209	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.9498327759197325	0.6822742474916388	0.8561872909698997	29
aminopentamide	aliskiren	0.833238133998026	0.3769485101709882	0.45628962382703786	0.3832026811848793	0.3456125017255544	-0.0583138830131954	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8160535117056856	0.9264214046822743	0.8546822742474917	30
ezetimibe	nvp-tae684	0.9061188932826063	0.5477355869546059	0.3583833063280004	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.3068421044283443	0.1615088503393862	0.1419794602053506	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.919732441471572	0.725752508361204	0.8518394648829433	31
pre-084	prednisone	0.8450637823672935	0.4211918654304647	0.4238719169368288	0.3460696306345718	0.1495749969035387	0.1047722188134988	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_1_mechanistic_probe	Tier_4_not_prioritized	True	False	0.8294314381270903	0.882943143812709	0.8481605351170568	32
r(-)-propylnorapomorphine	verteporfin	0.856662745609702	0.4620191818103194	0.3946435637993826	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.3174578201853567	0.1837441553879115	0.0395371671766042	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.8494983277591973	0.8294314381270903	0.8424749163879599	33
panobinostat	verteporfin	0.9300678199201469	0.6210152797312254	0.3090525401889215	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.3174578201853567	0.1837441553879115	0.0395371671766042	Excluded_safety	Tier_1_mechanistic_probe	True	True	0.9531772575250836	0.6020066889632107	0.8302675585284282	34
pre-084	aliskiren	0.8776481343610656	0.5214680867225286	0.35618004763853695	0.3460696306345718	0.1495749969035387	0.1047722188134988	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_1_mechanistic_probe	Tier_4_not_prioritized	True	False	0.882943143812709	0.7224080267558528	0.8267558528428094	35
r(-)-propylnorapomorphine	nvp-tae684	0.8704693151660086	0.505555894558451	0.3649134206075576	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.3068421044283443	0.1615088503393862	0.1419794602053506	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8695652173913043	0.7424749163879598	0.8250836120401337	36
stk-249718	wz-4002	0.8922729425830767	0.5626587768063127	0.32961416577676395	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.3318178856538402	0.1799050901706019	0.1696766402040209	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.903010033444816	0.6521739130434783	0.8152173913043478	37
thiostrepton	bromocriptine	0.8105770687532006	0.36919557083571813	0.44138149791748243	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Excluded_safety	Tier_4_not_prioritized	True	False	0.7625418060200669	0.903010033444816	0.811705685618729	38
prochlorperazine	aliskiren	0.8278346426991953	0.4319884201792616	0.3958462225199337	0.3393047527809228	0.148764285658087	0.0186749911970562	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Excluded_safety	Tier_4_not_prioritized	True	False	0.7959866220735786	0.8327759197324415	0.8088628762541805	39
aminopentamide	psb-069	0.8514810689089316	0.48449145873180693	0.36698961017712467	0.3832026811848793	0.3456125017255544	-0.0583138830131954	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_4_not_prioritized	Tier_3_computational_hit	True	False	0.8361204013377926	0.745819397993311	0.804515050167224	40
aminopentamide	prednisone	0.8006537820042539	0.3246535352534718	0.47600024675078206	0.3832026811848793	0.3456125017255544	-0.0583138830131954	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.7224080267558528	0.9531772575250836	0.8031772575250836	41
thiostrepton	pd-0325901	0.8040599577195411	0.35464267350644596	0.4494172842130951	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Excluded_safety	Tier_4_not_prioritized	True	False	0.7391304347826086	0.919732441471572	0.8023411371237459	42
panobinostat	nvp-tae684	0.9438743894764533	0.664551992479357	0.27932239699709627	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.3068421044283443	0.1615088503393862	0.1419794602053506	Excluded_safety	Tier_4_not_prioritized	True	False	0.9632107023411371	0.5016722408026756	0.8016722408026756	43
y-26763	pd-0325901	0.8221275952962478	0.42960714364039987	0.3925204516558479	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Tier_3_computational_hit	Tier_4_not_prioritized	True	False	0.7892976588628763	0.822742474916388	0.8010033444816054	44
y-26763	bromocriptine	0.8286447063299074	0.44416004096967204	0.38448466536023534	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Tier_3_computational_hit	Tier_4_not_prioritized	True	False	0.7993311036789298	0.802675585284281	0.8005016722408027	45
