early_compound	late_compound	forward_score	reverse_score	order_advantage	early_mean_resolver	early_resolver_floor	early_retention	late_retention	late_q25_retention	late_resolver_floor	early_tier	late_tier	both_named	both_hard_gate	forward_percentile	order_percentile	basin_switch_index	basin_switch_rank
panobinostat	wz-4002	1.0030297544758975	0.7453990506400014	0.25763070383589604	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.3318178856538402	0.1799050901706019	0.1696766402040209	Excluded_safety	Tier_1_mechanistic_probe	True	True	0.9899665551839465	0.43812709030100333	0.7968227424749165	46
loperamide	prednisone	0.8322542188947812	0.4556978701776454	0.37655634871713584	0.2855147977492639	0.1086321733891964	0.2002627576390902	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8093645484949833	0.7692307692307693	0.7953177257525084	47
panobinostat	glycocholic-acid	0.8301217698654721	0.4582515775063445	0.37187019235912766	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.2927055549290445	0.113612961049916	-0.1485714369586535	Excluded_safety	Tier_4_not_prioritized	True	False	0.802675585284281	0.7591973244147158	0.7874581939799331	48
stk-249718	verteporfin	0.819311008027326	0.43827500589753665	0.3810360021297894	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.3174578201853567	0.1837441553879115	0.0395371671766042	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.782608695652174	0.7859531772575251	0.7837792642140469	49
prochlorperazine	prednisone	0.7952502907054231	0.3499372028523966	0.4453130878530265	0.3393047527809228	0.148764285658087	0.0186749911970562	0.4679000046518113	0.368160122902029	-0.106774996034801	Excluded_safety	Tier_4_not_prioritized	True	False	0.7123745819397993	0.9130434782608695	0.7826086956521738	50
stk-249718	nvp-tae684	0.8331175775836326	0.48181171864566824	0.35130585893796434	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.3068421044283443	0.1615088503393862	0.1419794602053506	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8127090301003345	0.7123745819397993	0.7775919732441472	51
ezetimibe	glycocholic-acid	0.7923662736716252	0.34143517198159345	0.4509311016900317	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.2927055549290445	0.113612961049916	-0.1485714369586535	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6989966555183946	0.9230769230769231	0.7774247491638796	52
geldanamycin	aliskiren	0.9008760851704413	0.6279409286226072	0.27293515654783407	0.30605833711368696	0.1065098238842827	0.2312507074740198	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Excluded_safety	Tier_4_not_prioritized	True	False	0.9130434782608695	0.4916387959866221	0.7655518394648829	53
ag-490	aliskiren	0.7893444688931581	0.3527509146517823	0.4365935542413758	0.34080952472452597	0.2174672408561621	-0.0613149003022246	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6889632107023411	0.8963210702341137	0.7615384615384615	54
panobinostat	pd-184352	0.8064069023304101	0.42205692930442706	0.38434997302598306	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.2852154970169067	0.2008830491039487	-0.1018106751143932	Excluded_safety	Tier_4_not_prioritized	True	False	0.7424749163879598	0.7959866220735786	0.7612040133779264	55
thiostrepton	wz-4002	0.8656346456180992	0.5633056950866291	0.30232895053147013	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.3318178856538402	0.1799050901706019	0.1696766402040209	Excluded_safety	Tier_1_mechanistic_probe	True	False	0.8595317725752508	0.5652173913043478	0.7565217391304347	56
pre-084	psb-069	0.8958910692719713	0.6290110352833473	0.2668800339886239	0.3460696306345718	0.1495749969035387	0.1047722188134988	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_1_mechanistic_probe	Tier_3_computational_hit	True	True	0.9096989966555183	0.46153846153846156	0.7528428093645485	57
geldanamycin	prednisone	0.8682917331766691	0.5714705826803331	0.29682115049633595	0.30605833711368696	0.1065098238842827	0.2312507074740198	0.4679000046518113	0.368160122902029	-0.106774996034801	Excluded_safety	Tier_4_not_prioritized	True	False	0.8662207357859532	0.5418060200668896	0.7526755852842809	58
prochlorperazine	psb-069	0.8460775776101009	0.5395313687400802	0.3065462088700207	0.3393047527809228	0.148764285658087	0.0186749911970562	0.4291111048724916	0.3565118457966794	0.0297714109931673	Excluded_safety	Tier_3_computational_hit	True	True	0.8327759197324415	0.5886287625418061	0.7473244147157191	59
ezetimibe	pd-184352	0.768651406136563	0.30524052377967603	0.463410882356887	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.2852154970169067	0.2008830491039487	-0.1018106751143932	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6454849498327759	0.9364548494983278	0.7473244147157191	59
r(-)-propylnorapomorphine	glycocholic-acid	0.7567166955550275	0.25779289718244297	0.49892379837258455	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.2927055549290445	0.113612961049916	-0.1485714369586535	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6187290969899666	0.9732441471571907	0.742809364548495	61
ag-490	psb-069	0.8075874038040638	0.4602938632126011	0.3472935405914627	0.34080952472452597	0.2174672408561621	-0.0613149003022246	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_4_not_prioritized	Tier_3_computational_hit	True	False	0.7591973244147158	0.7023411371237458	0.7392976588628762	62
loperamide	aliskiren	0.8648385708885533	0.5866812091054661	0.27815736178308725	0.2855147977492639	0.1086321733891964	0.2002627576390902	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.8561872909698997	0.4983277591973244	0.7309364548494983	63
ag-490	prednisone	0.7567601168993859	0.3004559397342659	0.45630417716512006	0.34080952472452597	0.2174672408561621	-0.0613149003022246	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6220735785953178	0.9297658862876255	0.7297658862876255	64
y-26763	wz-4002	0.883702283194806	0.6382701652205829	0.24543211797422315	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.3318178856538402	0.1799050901706019	0.1696766402040209	Tier_3_computational_hit	Tier_1_mechanistic_probe	True	True	0.8896321070234113	0.40468227424749165	0.7198996655518395	65
thiostrepton	verteporfin	0.7926727110623486	0.43892192417785303	0.35375078688449557	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.3174578201853567	0.1837441553879115	0.0395371671766042	Excluded_safety	Tier_1_mechanistic_probe	True	False	0.705685618729097	0.7190635451505016	0.7103678929765886	66
ezetimibe	tyrphostin-1	0.817842282310483	0.5113162649573668	0.30652601735311613	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.2134195044636726	0.165535744279623	0.1507142931222915	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.7759197324414716	0.5852842809364549	0.7091973244147158	67
thiostrepton	nvp-tae684	0.8064792806186551	0.4824586369259845	0.32402064369267064	0.4468245117792061	0.4335254803299904	-0.0688117179605695	0.3068421044283443	0.1615088503393862	0.1419794602053506	Excluded_safety	Tier_4_not_prioritized	True	False	0.745819397993311	0.6287625418060201	0.7048494983277591	68
geldanamycin	psb-069	0.9191190200813468	0.7354838771834258	0.18363514289792104	0.30605833711368696	0.1065098238842827	0.2312507074740198	0.4291111048724916	0.3565118457966794	0.0297714109931673	Excluded_safety	Tier_3_computational_hit	True	False	0.939799331103679	0.22742474916387959	0.6904682274247492	69
r(-)-propylnorapomorphine	pd-184352	0.7330018280199655	0.2630608313835211	0.4699409966364444	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.2852154970169067	0.2008830491039487	-0.1018106751143932	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.5518394648829431	0.9464882943143813	0.6899665551839465	70
aminopentamide	bromocriptine	0.7522041556325608	0.34788249048592884	0.404321665146632	0.3832026811848793	0.3456125017255544	-0.0583138830131954	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6053511705685619	0.8461538461538461	0.6896321070234115	71
arcyriaflavin-a	prednisone	0.7864104255494321	0.4356065589698059	0.3508038665796262	0.25139682919585277	0.135857936926186	0.176811108055214	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6789297658862876	0.7090301003344481	0.6894648829431438	72
y-26763	verteporfin	0.8107403486390554	0.5138863943118069	0.2968539543272485	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.3174578201853567	0.1837441553879115	0.0395371671766042	Tier_3_computational_hit	Tier_1_mechanistic_probe	True	True	0.7658862876254181	0.5451505016722408	0.688628762541806	73
aminopentamide	pd-0325901	0.7456870445989013	0.33332959315665667	0.41235745144224467	0.3832026811848793	0.3456125017255544	-0.0583138830131954	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.5919732441471572	0.8662207357859532	0.6879598662207358	74
y-26763	nvp-tae684	0.8245469181953617	0.5574231070599385	0.2671238111354233	0.42093838179217913	0.1104624923318624	0.0190958171668979	0.3068421044283443	0.1615088503393862	0.1419794602053506	Tier_3_computational_hit	Tier_4_not_prioritized	True	False	0.7926421404682275	0.46488294314381273	0.6779264214046823	75
arcyriaflavin-a	aliskiren	0.8189947775432042	0.5461705752448843	0.27282420229831983	0.25139682919585277	0.135857936926186	0.176811108055214	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.7792642140468228	0.4882943143812709	0.6774247491638796	76
panobinostat	tyrphostin-1	0.85559777850433	0.628132670482118	0.2274651080222121	0.5086224198873555	0.4303749033382961	0.0823826835387283	0.2134195044636726	0.165535744279623	0.1507142931222915	Excluded_safety	Tier_1_mechanistic_probe	True	True	0.8461538461538461	0.3612040133779264	0.6764214046822743	77
wz-4002	aliskiren	0.8878975514773398	0.6968770454109218	0.19102050606641807	0.24279621433067533	0.1696766402040209	0.3318178856538402	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_1_mechanistic_probe	Tier_4_not_prioritized	True	False	0.8963210702341137	0.25418060200668896	0.671571906354515	78
ezetimibe	duloxetine	0.7540904474426208	0.3761590098969579	0.3779314375456629	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.2185218946801291	0.1440896673334969	-0.0665861084125936	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6120401337792643	0.7759197324414716	0.6693979933110368	79
pre-084	bromocriptine	0.7966141559956004	0.4924020670374693	0.30421208895813107	0.3460696306345718	0.1495749969035387	0.1047722188134988	0.3878145326679159	0.2492790310126212	-0.0219900336648736	Tier_1_mechanistic_probe	Tier_4_not_prioritized	True	False	0.7157190635451505	0.5752508361204013	0.6665551839464883	80
ezetimibe	ambroxol	0.7397342591531693	0.3418128165741643	0.39792144257900497	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.2222777725093894	0.214442616328597	-0.1124999905005097	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.5719063545150501	0.8394648829431438	0.6655518394648829	81
loperamide	psb-069	0.8830815057994591	0.6942241576662849	0.18885734813317423	0.2855147977492639	0.1086321733891964	0.2002627576390902	0.4291111048724916	0.3565118457966794	0.0297714109931673	Tier_4_not_prioritized	Tier_3_computational_hit	True	False	0.8862876254180602	0.24749163879598662	0.6627090301003344	82
pre-084	pd-0325901	0.7900970449619409	0.4778491697081971	0.3122478752537438	0.3460696306345718	0.1495749969035387	0.1047722188134988	0.3888269828425513	0.1429306140376461	-0.0338409654796123	Tier_1_mechanistic_probe	Tier_4_not_prioritized	True	False	0.6923076923076923	0.6053511705685619	0.6618729096989967	83
wz-4002	prednisone	0.8553131994835677	0.6445820704934054	0.21073112899016222	0.24279621433067533	0.1696766402040209	0.3318178856538402	0.4679000046518113	0.368160122902029	-0.106774996034801	Tier_1_mechanistic_probe	Tier_4_not_prioritized	True	False	0.842809364548495	0.3110367892976589	0.6566889632107024	84
stk-249718	glycocholic-acid	0.7193649579726514	0.27551130367265575	0.4438536542999957	0.48277351991938694	0.3056777156889438	-0.0874331403109762	0.2927055549290445	0.113612961049916	-0.1485714369586535	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.5217391304347826	0.9063545150501672	0.6563545150501672	85
ticlopidine	aliskiren	0.7414480896910565	0.3614093916479587	0.38003869804309776	0.27117536779093954	0.1225165724754333	-0.017839344839255	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.5819397993311036	0.782608695652174	0.6521739130434783	86
bibx-1382	aliskiren	0.7831141429820231	0.4674719324601547	0.31564221052186836	0.2560217449707644	0.2144357274685587	0.0958000073830286	0.4764824906984965	0.2830468008501662	-0.0147318169474601	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.6722408026755853	0.6120401337792643	0.6511705685618729	87
ezetimibe	tubocurarine	0.7220422201789916	0.3065483757028622	0.41549384447612936	0.5361593619787267	0.2945428660937718	-0.0482021930317084	0.2221980144580205	0.1128484031392468	-0.0646910603557314	Tier_4_not_prioritized	Tier_4_not_prioritized	True	False	0.5317725752508361	0.8729096989966555	0.6511705685618729	87
aminopentamide	wz-4002	0.8072617324974596	0.5419926147368397	0.2652691177606199	0.3832026811848793	0.3456125017255544	-0.0583138830131954	0.3318178856538402	0.1799050901706019	0.1696766402040209	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.7558528428093646	0.45484949832775917	0.6505016722408027	89
r(-)-propylnorapomorphine	tyrphostin-1	0.7821927041938853	0.46913657256121194	0.3130561316326734	0.5167463860873664	0.2317333327872412	-0.0806753974821832	0.2134195044636726	0.165535744279623	0.1507142931222915	Tier_4_not_prioritized	Tier_1_mechanistic_probe	True	False	0.6688963210702341	0.6086956521739131	0.6478260869565218	90
