pert_iname_norm	pert_iname	pert_ids	n_signatures	n_cell_lines	cell_lines	median_retention_suppression	q25_retention_suppression	median_endo_support	median_macro_support	median_resolver_floor	median_dual_control	q25_dual_control	fraction_dual_positive	n_pert_ids	min_id_retention	max_id_retention	min_id_resolver_floor	max_id_resolver_floor	retention_direction_conflict_across_ids	resolver_direction_conflict_across_ids	robust_dual	concurrent_score	early_score	late_score	concurrent_rank	median_sensitivity_rank	worst_sensitivity_rank	n_top50_schemes	is_touchstone	has_structure	pubchem_cids	named_identity	identity_resolved	duplicate_id_conflict	safety_gate	mechanism_context	computational_hard_gate	translation_tier
dacinostat	dacinostat	BRD-K56957086	4	2	HEPG2;PHH	0.0418203498961197	0.0008960107548369248	0.13159527310303276	0.1436075223609805	0.0497764819966895	0.18093008946420414	0.0243070255373678	0.75	1	0.0418203498961197	0.0418203498961197	0.0497764819966895	0.0497764819966895	False	False	0.19308360223288804	5.222467318254684	1.024246283943957	0.5817157146170637	9	155.0	175	0	1	True	6445533	True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
prochlorperazine	prochlorperazine	BRD-K19352500	3	2	HEPG2;PHH	0.0186749911970562	-0.0008714991725153505	0.5047345033713749	0.1738750021904707	0.148764285658087	0.3037168638603318	0.29211770705435247	0.6666666666666666	1	0.0186749911970562	0.0186749911970562	0.148764285658087	0.148764285658087	False	False	0.44977571738750804	5.193776824072043	2.4835161945213544	0.4263738366866162	11	47.0	171	3	1	True		True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	True	Excluded_safety
panobinostat	panobinostat	BRD-K02130563	7	2	HEPG2;PHH	0.0823826835387283	-0.1212855792707867	0.4303749033382961	0.5868699364364147	0.4303749033382961	0.4924273421943542	0.31596310812211226	0.5714285714285714	1	0.0823826835387283	0.0823826835387283	0.4303749033382961	0.4303749033382961	False	False	0.6504088962554103	5.0008070392663315	4.2164036292646205	0.4621845328639788	15	9.0	51	4	1	True	6918837	True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	True	Excluded_safety
terfenadine	terfenadine	BRD-A06352418	3	2	HEPG2;PHH	0.0787223801016807	-0.03821520590119895	0.1088928447238036	0.0061750006861984	0.0061750006861984	0.2491889264700668	-0.5311899541374592	0.6666666666666666	1	0.0787223801016807	0.0787223801016807	0.0061750006861984	0.0061750006861984	False	False	-0.01640605059866279	4.388493623142532	0.43395810718368066	0.6982668916572825	22	185.0	276	0	1	True		True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
menadione	menadione	BRD-K78126613	4	2	HEPG2;PHH	-0.1429788004348262	-0.5192025662529178	0.3164527213999203	0.25278845988214016	0.23732967634818383	0.19749318212196826	-0.32330678088686593	0.5	1	-0.1429788004348262	-0.1429788004348262	0.23732967634818383	0.23732967634818383	False	False	0.03583979167853529	3.5345413771965957	2.3831560941048107	-2.240880116494065	31	179.0	392	0	1	True		True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
geldanamycin	geldanamycin	BRD-A19500257	35	3	HEPG2;HUH7;PHH	0.2312507074740198	0.0309788017637199	0.4041338435241154	0.2079828307032585	0.1065098238842827	0.3454009828615993	-0.21644695727006774	0.42857142857142855	1	0.2312507074740198	0.2312507074740198	0.1065098238842827	0.1065098238842827	False	False	0.23717750422656544	3.477674577276362	2.176621694134193	1.901928676501215	32	20.0	30	5	1	True	5288382	True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
ouabain	ouabain	BRD-A46747628;BRD-A68930007;BRD-K35708212	7	2	HEPG2;PHH	0.1288166551126374	-0.1269290016757117	0.1778428511960166	0.2575500067323446	-0.0488910973072052	0.1962746299271072	-0.14663403052540996	0.14285714285714285	3	-0.169300228357315	0.3127004644936985	-0.2297251777989523	0.1915428532021386	True	True	0.12295761466440222	1.6617392742859587	1.2506929814950014	0.7450930480382244	145	59.0	91	2	1	True	439501	True	True	True	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
digoxin	digoxin	BRD-A94756469;BRD-K23478508	5	2	HEPG2;PHH	-0.2088537000947528	-0.2424627881911066	0.4839931343282972	0.6180186588317156	0.36039450019598	0.384522095026951	0.285989594527535	0.0	2	-0.2088537000947528	-0.14629266162713364	0.3550915208512119	0.36039450019598	False	False	0.5275168922907185	1.551259844599329	4.290767959379218	-1.8018625895605687	151	52.0	356	2	1	True	30322;73707466	True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
alvocidib	alvocidib	BRD-K87909389	3	2	HEPG2;PHH	-0.4633889454934332	-0.5538215301930904	1.1669247363294877	0.7276575677096844	0.7276575677096844	0.3623919347153297	0.3239225000143051	0.0	1	-0.4633889454934332	-0.4633889454934332	0.7276575677096844	0.7276575677096844	False	False	0.5243531847224823	1.545794850615631	7.599862853723048	-4.423080481543519	152	14.0	488	3	1	True	5287969	True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
aminopurvalanol-a	aminopurvalanol-a	BRD-K07762753	13	3	HEPG2;HUH7;PHH	-0.4394389018416405	-0.925781797617674	0.936057720865522	0.7590625323355198	0.7443279027938843	0.2945362848362752	0.0678264410678474	0.0	1	-0.4394389018416405	-0.4394389018416405	0.7443279027938843	0.7443279027938843	False	False	0.3284495053701989	1.2073904924525825	7.046214621190847	-5.431238025185862	183	32.0	496	3	1	True		True	True	False	exclude_narrow_margin_or_cytotoxic	unresolved_or_not_curated	False	Excluded_safety
