basin_state	n_patients	stage_beta	hc3_se	hc3_p	within_array_permutation_p	spearman_rho	permutation_fdr
resolved	32	-0.02926402829515349	0.007735061534817672	0.0001547651033401755	0.0003	-0.5768489751633514	0.00045
transition	32	-0.00934925260362628	0.002993995695403677	0.0017922018420368422	0.0009	-0.4841774126589103	0.0009000000000000001
locked	32	0.038613280898779544	0.008585501285919653	6.8757580323628966e-06	0.0001	0.6246114522559348	0.00030000000000000003
