module	n_biopsies	mean_shift	median_shift	bootstrap_ci_low	bootstrap_ci_high	wilcoxon_statistic	p_value	fdr
Endothelial resolver	33	0.3638541949910541	0.36837810773494784	0.3033498712692662	0.42577882640584763	2.0	6.984919309616089e-10	1.6298145055770874e-09
Macrophage resolver	33	0.2541995063331348	0.24264737006077125	0.19994054318606044	0.30671972607132375	10.0	1.0011717677116394e-08	1.4016404747962952e-08
Protease activation	33	0.13374393322935604	0.1294291845076384	0.08467243286075163	0.18440296641172846	41.0	2.304092049598694e-06	2.630287781357765e-06
Antiproteolytic brake	33	0.38298122934015044	0.34651617194685636	0.30902602993386286	0.45738940676531914	0.0	2.3283064365386963e-10	8.149072527885437e-10
HSC retention	33	0.4082297145373421	0.36631523952731426	0.3224160989089668	0.49504407959756025	0.0	2.3283064365386963e-10	8.149072527885437e-10
TGF-beta integrator	33	0.13882677711477873	0.11701559891038267	0.09150501977256048	0.1850203248857316	42.0	2.630287781357765e-06	2.630287781357765e-06
Structural ECM	33	0.18598674371980287	0.15283400514493511	0.13771687150472187	0.23673067646242452	3.0	1.1641532182693481e-09	2.0372681319713593e-09
