gene_upper	metadata_logFC	metadata_PValue	metadata_FDR	supplement_swap_logFC	supplement_swap_PValue	supplement_swap_FDR	author_AvsQ_ATAC_logFC	author_MASH_ATAC_logFC	author_AvsQ_RNA_logFC	author_MASH_RNA_logFC	author_sum_sig	mouse_progression_logFC	mouse_progression_FDR	mouse_regression_logFC	mouse_regression_FDR	mouse_residual_logFC	mouse_residual_FDR	mouse_fate	human_positive_both	human_nominal_both	human_fdr_any_010	author_four_way	mouse_positive_residual	mouse_persistent	cross_species_direction	functional_support	evidence_score	classification
SBF1	-0.420739392461908	0.241637102590845	0.64036258261901	-0.360967966392131	0.321392033217515	0.672472248121257						-0.0165265434344186	0.969651685100975	-0.788894047501128	0.0189376862160248	-0.805420590935547	0.0260063020234298	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
MCM7	-0.360400649942963	0.24178094239199	0.640422275407584	-0.395052572773513	0.195631218238926	0.571527055075728	0.163017884844333				1.0	0.69814815613838	0.0488924381808764	-0.887955384175526	0.0106525003964253	-0.189807228037147	0.583965182395397	reversed	False	False	False	False	False	False	False		0	insufficient_or_context_specific
SLC39A14	-0.499227398167756	0.241935673936211	0.64055798533231	-0.563339664009631	0.187136611765458	0.56929178900529	0.683968742344574	1.23765162395425			2.0	-1.24645355236238	0.006336398642225	0.64057929008268	0.0804972454670506	-0.605874262279698	0.105055826582113	reversed	False	False	False	False	False	False	False		0	insufficient_or_context_specific
ZMIZ2	-0.354231955005786	0.241953518233117	0.64055798533231	-0.381011905753522	0.205987672321778	0.578776160707106				0.0370530100136684	1.0	-0.0413401751633657	0.895179480351654	-0.266910958050242	0.213335275599931	-0.308251133213608	0.179456041844568	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
DYRK3	0.442117077273717	0.242170961203073	0.640972927646538	0.198310483519316	0.602441282400806	0.844697883079378		0.299578236841925			1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
AC019117.1	0.830859318808476	0.242456684348003	0.641246912160877	1.0240158937102	0.177696161123111	0.560377630006132													True	False	False	False	False	False	False		0	insufficient_or_context_specific
AGAP5	-0.260813323556345	0.242574932994606	0.641398983861019	-0.0974203093078767	0.655361575808606	0.871339568994744													False	False	False	False	False	False	False		0	insufficient_or_context_specific
WDR59	-0.169965881416786	0.242647912967631	0.641431313247934	-0.256839318664953	0.0660190340294707	0.436071024157137						0.102744376693142	0.775329154105402	-0.34124794990237	0.195157978375258	-0.238503573209227	0.406626709410067	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
GREB1	-0.761211211482806	0.242716312072987	0.641451520116794	-0.389011615979739	0.572538873103652	0.827730374888659				0.015924451480081	1.0								False	False	False	False	False	False	False		0	insufficient_or_context_specific
HNF1A	-0.798901912656363	0.243328375753734	0.642104721621574	-0.993378399451021	0.140792178905495	0.526401063874107						-0.620098288740662	0.192710521342495	-0.410997276558782	0.334819040413064	-1.03109556529944	0.0350375726175054	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
