target	trt_oe	trt_sh	trt_sh.cgs	cgs_hairpin_same_sign	cgs_oe_opposite_sign
FOS	0.16669259489053914	-0.08230032715212318	-0.127700602045617	True	True
FOSL2	0.2696073049085438	0.11395874439129312	0.11840217179735686	True	False
JUN		0.07904740132328117	0.06406140557453971	True	False
JUNB	0.03488645335217342	-0.02881320672377398	0.1199102173458067	False	False
