sig_id	target	cell_id	pert_time	n_same_context_cgs	retention_suppression	retention_suppression_percentile	retention_suppression_empirical_p_low	retention_suppression_empirical_p_high	retention_suppression_empirical_p_two_sided	fra_rescue	fra_rescue_percentile	fra_rescue_empirical_p_low	fra_rescue_empirical_p_high	fra_rescue_empirical_p_two_sided	dual_control_score	dual_control_score_percentile	dual_control_score_empirical_p_low	dual_control_score_empirical_p_high	dual_control_score_empirical_p_two_sided	n_contexts	median_fra_rescue	fraction_fra_positive	median_dual_control	fraction_dual_positive	trt_oe	trt_sh	trt_sh.cgs	cgs_hairpin_same_sign	cgs_oe_opposite_sign
CGS001_HEPG2_96H:FOS:1.5	FOS	HEPG2	96	3341	-0.16412481448302665	0.1418736905118228	0.14213046080191502	0.8584679832435668	0.28426092160383004	-0.127700602045617	0.13049985034420833	0.13076002393776182	0.86983842010772	0.26152004787552363	-0.3533239640916387	0.25710865010475903	0.2573309395571514	0.7432675044883303	0.5146618791143028	14	-0.11234651215940154	0.35714285714285715	-0.05537663037992184	0.5	0.16669259489053914	-0.08230032715212318	-0.127700602045617	True	True
CGS001_HEPG2_96H:FOSL2:1.5	FOSL2	HEPG2	96	3341	0.11188952319530977	0.5929362466327447	0.5930580490724118	0.40754039497307004	0.8150807899461401	0.11840217179735686	0.6129901227177492	0.6131059245960503	0.38749251944943147	0.7749850388988629	-0.7126504208685623	0.09847351092487279	0.09874326750448834	0.9018551765409935	0.19748653500897667	10	0.15777342121437993	1.0	-0.6373877033280829	0.0	0.2696073049085438	0.11395874439129312	0.11840217179735686	True	False
CGS001_HEPG2_96H:JUN:1.5	JUN	HEPG2	96	3341	0.17493173542122045	0.7102663873091889	0.7103530819868342	0.29024536205864754	0.5804907241172951	0.06406140557453971	0.49416342412451364	0.4943147815679234	0.5062836624775583	0.9886295631358468	0.040648244410043666	0.5633043998802754	0.5634350688210652	0.4371633752244165	0.874326750448833	15	-0.02271471509148463	0.4	-0.04693501603434838	0.4		0.07904740132328117	0.06406140557453971	True	False
CGS001_HEPG2_96H:JUNB:1.5	JUNB	HEPG2	96	3341	-0.06857356263531579	0.26608799760550733	0.2663076002393776	0.7342908438061041	0.5326152004787552	0.1199102173458067	0.615983238551332	0.616098144823459	0.3845002992220227	0.7690005984440454	-0.5650979450179471	0.15294821909607903	0.15320167564332735	0.8473967684021544	0.3064033512866547	9	0.24006521424143373	0.8888888888888888	-0.5406419430223723	0.2222222222222222	0.03488645335217342	-0.02881320672377398	0.1199102173458067	False	False
